TimeSinceStart,UserHeight,TrialNo,TrialID,ParticipantID,ExperimentSequence,Layout,Difficulty,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,MainControllerPosition.x,MainControllerPosition.y,MainControllerPosition.z,MainControllerEulerAngles.x,MainControllerEulerAngles.y,MainControllerEulerAngles.z,MainPadPressed,MainTriggerPressed
40.44222,1,1,Training,0,0,Flat,5,showPattern,-0.06116592,0.6353034,-0.03970211,326.0789,0.459269,353.5851,-2.00092,0.8570913,-3.716229,348.3081,335.2737,350.606,False,False
40.45333,1,1,Training,0,0,Flat,5,showPattern,-0.06117179,0.6352907,-0.03977013,326.081,0.462109,353.5863,-2.001157,0.8577536,-3.716158,348.3042,335.2632,350.6456,False,False
40.46445,1,1,Training,0,0,Flat,5,showPattern,-0.06116351,0.6353025,-0.03977668,326.085,0.4558224,353.5914,-2.001085,0.8575337,-3.716357,348.3092,335.255,350.6761,False,False
40.47556,1,1,Training,0,0,Flat,5,showPattern,-0.06111456,0.6352597,-0.03973918,326.0845,0.4565593,353.5859,-2.001017,0.8573704,-3.716525,348.3005,335.2555,350.6982,False,False
40.48667,1,1,Training,0,0,Flat,5,showPattern,-0.06112328,0.6352953,-0.03972506,326.0776,0.4605564,353.5865,-2.001031,0.857379,-3.716552,348.3017,335.2425,350.7229,False,False
40.49778,1,1,Training,0,0,Flat,5,showPattern,-0.06108952,0.6352399,-0.0397237,326.083,0.4587402,353.582,-2.000958,0.8571497,-3.716428,348.3034,335.2425,350.7227,False,False
40.50889,1,1,Training,0,0,Flat,5,showPattern,-0.06099106,0.6353111,-0.03974196,326.0857,0.4664256,353.5794,-2.000854,0.8570448,-3.716611,348.3102,335.2605,350.7164,False,False
40.52,1,1,Training,0,0,Flat,5,showPattern,-0.06098253,0.6352961,-0.0396885,326.087,0.4699883,353.5754,-2.000821,0.8570403,-3.71661,348.3086,335.2645,350.6972,False,False
40.53111,1,1,Training,0,0,Flat,5,showPattern,-0.06090795,0.6353465,-0.0396544,326.0951,0.4690282,353.5805,-2.000715,0.8568364,-3.71679,348.292,335.2694,350.6688,False,False
40.54222,1,1,Training,0,0,Flat,5,showPattern,-0.06090219,0.6353407,-0.03963354,326.0828,0.4645435,353.5837,-2.000679,0.8568146,-3.716808,348.2914,335.2721,350.6437,False,False
40.55333,1,1,Training,0,0,Flat,5,showPattern,-0.06087124,0.6353339,-0.03954957,326.0964,0.4668855,353.5762,-2.000734,0.8570071,-3.716599,348.3073,335.2842,350.6258,False,False
